tanggal,sentimenweekly
2022-05-13,0.27361111111111114
2022-05-16,0.3708333333333333
2022-05-17,0.2583333333333334
2022-05-18,0.2583333333333334
2022-05-20,0.3208333333333334
2022-05-23,0.10416666666666669
2022-05-24,0.7166666666666666
2022-05-26,0.9416666666666665
2022-05-27,1.0916666666666666
2022-05-30,0.9624999999999999
2022-05-31,0.6375
2022-06-01,0.7541666666666667
2022-06-02,0.5666666666666665
2022-06-03,0.5166666666666666
2022-06-06,0.8519444444444443
2022-06-07,0.5769444444444445
2022-06-08,0.4112878787878788
2022-06-09,0.09878787878787881
2022-06-10,-0.0012121212121212754
2022-06-13,-0.29898989898989903
2022-06-14,-0.198989898989899
2022-06-15,0.04666666666666669
2022-06-16,0.5666666666666667
2022-06-17,0.6541666666666667
2022-06-20,0.6916666666666667
2022-06-21,0.7416666666666667
2022-06-22,0.6304491341991341
