Tanggal Saham,Nilai Sentimen Saham,Sentimen Saham,Tanggal Berita,Nilai Sentimen Berita,Sentimen Berita
2021-11-10,-1.7856579984239596,netral,2021-11-03,0.2,netral
2021-11-11,1.971731448763292,netral,2021-11-04,0.2,netral
2021-11-12,2.982206405693983,netral,2021-11-05,0.0,netral
2021-11-15,-4.014492753623195,netral,2021-11-08,0.8666666666666666,positif
2021-11-16,-2.0,netral,2021-11-09,0.8666666666666666,positif
2021-11-17,8.254545454545541,positif,2021-11-10,0.8666666666666666,positif
2021-11-18,1.0321428571428248,netral,2021-11-11,0.8666666666666666,positif
2021-11-19,-3.6231046931407875,netral,2021-11-12,0.8666666666666666,positif
2021-11-22,-4.94661921708185,netral,2021-11-15,0.0,netral
2021-11-23,-6.422764227642296,negatif,2021-11-16,0.0,netral
2021-11-24,-0.8214285714285688,netral,2021-11-17,0.2888888888888888,netral
2021-11-25,-4.638398115429946,netral,2021-11-18,0.2888888888888888,netral
2021-11-26,-7.790940766550528,negatif,2021-11-19,0.2888888888888888,netral
2021-11-29,-0.9781818181818083,netral,2021-11-22,0.2888888888888888,netral
2021-11-30,-0.23021582733813298,netral,2021-11-23,0.2888888888888888,netral
2021-12-01,-6.11764705882355,netral,2021-11-24,0.0,netral
2021-12-02,1.7236842105263008,netral,2021-11-25,-0.25,netral
2021-12-03,-1.2991452991453014,netral,2021-11-26,-0.25,netral
2021-12-06,1.4076827757124841,netral,2021-11-29,-0.1055555555555556,netral
2021-12-07,-4.70559610705596,netral,2021-11-30,-0.1055555555555556,netral
2021-12-08,0.5721040189125295,netral,2021-12-01,-0.1055555555555556,netral
2021-12-09,-2.2773722627737256,netral,2021-12-02,0.1444444444444444,netral
2021-12-10,-1.0,netral,2021-12-03,0.1444444444444444,netral
2021-12-13,-0.8088560885608745,netral,2021-12-06,-0.2,netral
2021-12-14,-1.7500000000000038,netral,2021-12-07,-0.2,netral
2021-12-15,-2.0,netral,2021-12-08,-0.2,netral
2021-12-16,7.963636363636228,positif,2021-12-09,0.2222222222222222,netral
2021-12-17,-2.0,netral,2021-12-10,0.2222222222222222,netral
2021-12-20,-2.6691358024691225,netral,2021-12-13,0.4222222222222222,netral
2021-12-21,-4.037174721189631,netral,2021-12-14,0.4222222222222222,netral
2021-12-22,-2.0,netral,2021-12-15,0.4222222222222222,netral
