Tanggal Saham,Nilai Sentimen Saham,Sentimen Saham
2021-09-16,-1.9237283117190782,netral
2021-09-17,-2.8086153846153525,netral
2021-09-20,1.714285714285738,netral
2021-09-21,16.913439635535397,positif
2021-09-22,-4.622033898305094,netral
2021-09-23,7.9084668192228404,positif
2021-09-24,-1.5060790273555935,netral
2021-09-27,-2.152327550960814,netral
2021-09-28,-0.7358822588385838,netral
2021-09-29,-0.1623407267579178,netral
2021-09-30,31.472340425531037,positif
2021-10-01,-92.23999999999742,negatif
2021-10-04,-79.92899408283633,negatif
2021-10-05,-1.527298850574704,netral
2021-10-06,5.353971682265464,netral
2021-10-07,-2.087279480037139,netral
2021-10-08,-3.0591247672253234,netral
2021-10-11,-2.324554183813441,netral
2021-10-12,-10.314266023431848,negatif
2021-10-13,-0.3446982908964112,netral
2021-10-14,-23.468438538206364,negatif
2021-10-15,-3.4213399503722166,netral
2021-10-18,4.806722689075709,netral
2021-10-19,-2.741630462560708,netral
2021-10-21,-2.9521951219512195,netral
2021-10-22,-0.8701201201201237,netral
2021-10-25,-2.0,netral
2021-10-26,-2.0,netral
2021-10-27,3.9999999999999334,netral
2021-10-28,-0.4899328859060313,netral
2021-10-29,-0.3945762711864391,netral
2021-11-01,-2.0,netral
2021-11-02,-2.0,netral
2021-11-03,-3.374429223744304,netral
2021-11-04,-2.675736961451223,netral
2021-11-05,-0.49999999999999184,netral
2021-11-08,-5.344519015659964,netral
2021-11-09,-3.9537953795379486,netral
2021-11-10,-2.9511400651465762,netral
2021-11-11,-0.07843137254896584,netral
2021-11-12,-5.843648208469034,netral
2021-11-15,-2.3960132890365466,netral
2021-11-16,-2.5049999999999972,netral
2021-11-17,-10.214046822742466,negatif
2021-11-18,-16.138613861386155,negatif
2021-11-19,-2.345720720720711,netral
2021-11-22,-6.053872053872009,netral
2021-11-23,-2.0,netral
2021-11-24,-2.0,netral
2021-11-25,-1.4209268991877677,netral
2021-11-26,-13.959595959596289,negatif
2021-11-29,3.1030927835051596,netral
2021-11-30,-2.0,netral
2021-12-01,-2.0,netral
2021-12-02,-10.191780821917847,negatif
2021-12-03,-0.3499999999999964,netral
2021-12-06,-2.394576271186436,netral
2021-12-07,-2.0,netral
2021-12-08,3.938775510204045,netral
2021-12-09,-2.7373737373737312,netral
2021-12-10,-2.4081632653061082,netral
2021-12-13,4.000000000000066,netral
2021-12-14,-2.0,netral
2021-12-15,-2.0,netral
2021-12-16,-1.3219178082191723,netral
2021-12-17,16.185567010309786,positif
