tanggal,sentimenweekly
2021-07-16,-1.7563559322033915
2021-07-19,-0.8392238392238441
2021-07-21,-3.6002766251729
2021-07-22,-3.6473922902494254
2021-07-23,-1.4764216366158118
2021-07-26,-1.2583470169677056
2021-07-27,-3.381188118811947
2021-07-28,-1.7793532338308478
2021-07-29,-1.1185483870967754
2021-07-30,1.0892494929006122
2021-08-02,-2.698744769874461
2021-08-03,-6.448132780082964
2021-08-04,-2.5617715617715566
2021-08-05,-5.910891089108874
2021-08-06,-0.5259615384615408
2021-08-09,-4.3809756097561365
2021-08-10,-0.925548347235093
2021-08-12,-0.1568136272545016
2021-08-13,-0.8341543513957274
2021-08-16,-1.6797385620915033
2021-08-18,-2.8873451623702686
2021-08-19,-12.474654377880046
2021-08-20,0.3845726970033267
2021-08-23,-3.8064516129031762
2021-08-24,-1.4766355140186878
2021-08-25,-1.2637644046094747
2021-08-26,-0.7933333333333342
2021-08-27,-0.3913875598086153
2021-08-30,-2.364779874213831
2021-08-31,-1.0
2021-09-01,-0.013888888888891079
2021-09-02,1.957746478873246
2021-09-03,1.6539682539682667
2021-09-06,-1.0
2021-09-07,-1.0
2021-09-08,-0.0
2021-09-09,-2.0
2021-09-10,-0.7569444444444439
2021-09-13,-1.0
2021-09-14,-1.0
2021-09-15,-0.333333333333328
2021-09-16,-1.9953271028037358
2021-09-17,-0.4881516587677815
2021-09-20,2.0849056603773763
2021-09-21,-1.0
2021-09-22,-1.526829268292681
2021-09-23,-0.6537216828478952
2021-09-24,-2.029268292682941
2021-09-27,-0.8267973856209156
2021-09-28,0.014778325123151921
2021-09-29,6.103960396039604
2021-09-30,-6.913875598086112
2021-10-01,-0.04651162790698045
2021-10-04,-14.345794392523391
2021-10-05,-1.0
2021-10-06,0.5187969924811999
2021-10-07,-1.1451388888888887
2021-10-08,-7.2970711297071125
2021-10-11,-0.3786295005807174
2021-10-12,-1.0
2021-10-13,-0.18359374999999908
2021-10-14,-8.191011235955099
2021-10-15,-1.6207792207792229
2021-10-18,0.18444444444443886
2021-10-19,-1.0
2021-10-21,-0.6778861277131175
2021-10-22,-0.43046075085324265
2021-10-25,-0.2617449664429543
2021-10-26,-1.2119309262166411
2021-10-27,-2.2966781214203946
2021-10-28,-1.2553003533568925
2021-10-29,-1.4156028368794324
2021-11-01,0.5964285714285763
2021-11-02,-0.284671532846717
2021-11-03,-2.2035845588235325
2021-11-04,0.0071174377224095305
2021-11-05,0.007142857142852111
2021-11-08,-1.6714628297362057
2021-11-09,-1.0
2021-11-10,-0.8928289992119798
2021-11-11,0.985865724381646
2021-11-12,1.4911032028469915
2021-11-15,-2.0072463768115973
2021-11-16,-1.0
2021-11-17,4.1272727272727705
2021-11-18,0.5160714285714124
2021-11-19,-1.8115523465703938
2021-11-22,-2.473309608540925
2021-11-23,-3.211382113821148
2021-11-24,-0.4107142857142844
2021-11-25,-2.319199057714973
2021-11-26,-3.895470383275264
2021-11-29,-0.48909090909090414
2021-11-30,-0.11510791366906649
2021-12-01,-3.058823529411775
2021-12-02,0.8618421052631504
2021-12-03,-0.6495726495726507
2021-12-06,0.7038413878562421
2021-12-07,-2.35279805352798
2021-12-08,0.28605200945626474
2021-12-09,-1.1386861313868628
2021-12-10,-0.5
2021-12-13,-0.40442804428043727
2021-12-14,-0.8750000000000019
2021-12-15,-1.0
2021-12-16,3.981818181818114
2021-12-17,-1.0
2021-12-20,-1.3345679012345613
2021-12-21,-2.0185873605948155
2021-12-22,-1.0
2021-12-23,-1.2075471698113207
2021-12-24,-1.0
2021-12-27,-2.003717472118946
2021-12-28,0.992592592592589
2021-12-29,-1.33333333333334
2021-12-30,-0.014869888475862462
2022-01-03,-1.3283950617283915
2022-01-04,11.000000000000298
2022-01-05,0.4412811387900289
2022-01-06,-1.0
2022-01-07,3.8381294964030364
2022-01-10,-0.045936395759697615
2022-01-11,-1.0794917257683205
2022-01-12,-1.3333333333333437
2022-01-13,-1.0
2022-01-14,-0.40640569395017734
2022-01-17,-4.985915492957713
2022-01-18,3.895833333333417
2022-01-19,-0.007067137809208004
2022-01-20,-2.9859154929577723
2022-01-21,-0.6724941724941703
2022-01-24,-1.7421602787456474
2022-01-25,1.4338028169014048
2022-01-26,12.525735294117565
2022-01-27,0.4947368421052698
2022-01-28,10.916666666666524
2022-01-31,1.2322222222222152
2022-02-02,-1.161547212741754
2022-02-03,-1.2127770534550182
2022-02-04,-0.6746575342465856
2022-02-07,-0.8361774744027283
2022-02-08,-1.726392251815979
2022-02-09,0.4649999999999795
2022-02-10,-2.298129812981298
2022-02-11,-0.04885993485339274
2022-02-14,-1.0
2022-02-15,0.7240259740259808
2022-02-16,-0.6845425867507909
2022-02-17,-1.4764150943396248
2022-02-18,1.9145569620253307
2022-02-21,-1.0
2022-02-22,-1.6497890295358637
2022-02-23,6.158064516129042
2022-02-24,1.00630914826499
2022-02-25,1.3556975505857125
2022-03-01,-0.003125000000002841
2022-03-02,-0.0031545741324919474
2022-03-04,-0.28801102434542336
2022-03-07,0.7555379746835403
2022-03-08,-1.7235321312991243
2022-03-09,-3.456140350877186
2022-03-10,-1.0
2022-03-11,0.39999999999999447
2022-03-14,-1.8517520215633418
2022-03-15,-0.8092592592592588
2022-03-16,0.478991596638654
2022-03-17,-1.0
2022-03-18,-0.5948762483716877
2022-03-21,-2.4367469879518078
2022-03-22,1.0061919504643746
2022-03-23,-0.8170489946190878
2022-03-24,-2.240866873065019
2022-03-25,-1.0
2022-03-28,-2.2333671057075324
2022-03-29,1.3750000000000067
2022-03-30,-0.5208955223880726
